Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Shai Gilgeous-Alexander,26,OKC,PG,76,76,34.2,11.mar,21.sie,0.519,02.sty,05.lip,0.375,09.lut,16.sty,0.571,0.569,07.wrz,08.sie,0.898,0.9,04.sty,5.0,06.kwi,01.lip,1.0,02.kwi,02.lut,32.7,"MVP-1,DPOY-10,CPOY-8,AS,NBA1"
2,Giannis Antetokounmpo,30,MIL,PF,67,67,34.2,11.sie,19.lip,0.601,0.2,0.9,0.222,11.cze,18.lip,0.62,0.607,06.maj,10.cze,0.617,02.lut,09.lip,11.wrz,06.maj,0.9,01.lut,03.sty,02.mar,30.kwi,"MVP-3,DPOY-8,AS,NBA1"
3,Nikola Jokić,29,DEN,C,70,70,36.7,11.lut,19.maj,0.576,2.0,04.lip,0.417,09.mar,14.sie,0.627,0.627,05.lut,06.kwi,0.8,02.wrz,09.wrz,12.lip,10.lut,01.sie,0.6,03.mar,02.mar,29.cze,"MVP-2,CPOY-2,AS,NBA1"
4,Luka Dončić,25,2TM,PG,50,50,35.4,09.lut,20.maj,0.45,03.maj,09.cze,0.368,05.lip,10.wrz,0.522,0.536,06.lut,07.wrz,0.782,0.8,07.kwi,08.lut,07.lip,01.sie,0.4,03.cze,02.maj,28.lut,
5,Luka Dončić,25,DAL,PG,22,22,35.7,09.sie,21.lut,0.464,03.kwi,09.cze,0.354,06.kwi,11.maj,0.555,0.544,05.sty,06.cze,0.767,0.7,07.cze,08.mar,07.sie,2.0,0.4,03.kwi,02.cze,28.sty,
6,Luka Dončić,25,LAL,PG,28,28,35.1,08.sie,20.0,0.438,03.cze,09.cze,0.379,05.sty,10.kwi,0.493,0.53,7.0,08.wrz,0.791,0.9,07.lut,08.sty,07.maj,01.cze,0.4,03.lip,02.kwi,28.lut,
7,Anthony Edwards,23,MIN,SG,79,79,36.3,09.sty,20.kwi,0.447,04.sty,10.mar,0.395,05.sty,10.sty,0.501,0.547,05.mar,06.mar,0.837,0.8,04.wrz,05.lip,04.maj,01.lut,0.6,03.lut,01.wrz,27.cze,"MVP-7,CPOY-3,AS,NBA2"
8,Jayson Tatum,26,BOS,PF,72,72,36.4,09.lut,20.mar,0.452,03.maj,10.sty,0.343,05.lip,10.lut,0.559,0.537,5.0,06.sty,0.814,0.7,8.0,08.lip,6.0,01.sty,0.5,02.wrz,02.lut,26.sie,"MVP-4,CPOY-10,AS,NBA1"
9,Kevin Durant,36,PHO,PF,62,62,36.5,09.maj,18.sty,0.527,02.cze,6.0,0.43,7.0,12.sty,0.574,0.598,04.wrz,05.sie,0.839,0.4,05.lip,6.0,04.lut,0.8,01.lut,03.sty,01.lip,26.cze,AS
10,Tyrese Maxey,24,PHI,PG,52,52,37.7,09.lut,21.0,0.437,03.sty,09.lut,0.337,06.sty,11.sie,0.515,0.511,04.wrz,05.cze,0.879,0.3,03.sty,03.mar,06.sty,01.sie,0.4,02.kwi,02.lut,26.mar,CPOY-10
11,Cade Cunningham,23,DET,PG,70,70,35.0,09.sie,20.sie,0.469,02.sty,6.0,0.356,07.cze,14.sie,0.515,0.521,04.maj,05.mar,0.846,0.8,05.mar,06.sty,09.sty,1.0,0.8,04.kwi,02.sie,26.sty,"MVP-7,AS,NBA3"
12,Jalen Brunson,28,NYK,PG,65,65,35.4,9.0,18.maj,0.488,02.mar,06.sty,0.383,06.lip,12.kwi,0.539,0.551,05.lip,06.wrz,0.821,0.4,02.maj,02.wrz,07.mar,0.9,0.1,02.maj,02.sty,26.0,"MVP-10,CPOY-1,AS,NBA2"
13,Paolo Banchero,22,ORL,PF,46,46,34.4,9.0,19.sie,0.452,01.wrz,05.wrz,0.32,07.sty,13.wrz,0.509,0.5,06.sty,08.kwi,0.727,01.sty,06.kwi,07.maj,04.sie,0.8,0.6,3.0,02.sty,25.wrz,
14,Devin Booker,28,PHO,SG,75,75,37.3,08.lip,18.wrz,0.461,02.kwi,07.mar,0.332,06.mar,11.cze,0.542,0.525,05.sie,06.kwi,0.894,1.0,03.sty,04.sty,07.sty,0.9,0.2,02.wrz,02.cze,25.cze,
15,LaMelo Ball,23,CHO,PG,47,47,32.0,08.cze,21.mar,0.405,03.sie,11.lut,0.339,04.sie,10.sty,0.478,0.494,04.sty,04.wrz,0.843,1.0,03.wrz,04.wrz,07.kwi,01.sty,0.3,03.cze,03.mar,25.lut,
