Rk;Player;Age;POSITION;TEAM;GAMES_STARTED;MINUTES_PLAYED;FG_MADE;FG_ATTEMPTED;FG_PCT;3PT_MADE;3PT_ATTEMPTED;3PT_PCT;FT_MADE;FT_ATTEMPTED;FT_PCT;OFF_REB;DEF_REB;TOT_REB;AST;STL;BLK;TOV;PF;PTS;TRIP_DB;GAMES_PLAYED
1;Shai Gilgeous-Alexander;26;PG;OKC;76;2598;860;1656;0,519323671;163;435;0,374712644;601;669;0,898355755;67;312;379;486;131;77;183;164;2484;0;76
2;Anthony Edwards;23;SG;MIN;79;2871;721;1612;0,447270471;320;811;0,394574599;415;496;0,836693548;61;389;450;359;91;51;249;150;2177;0;79
3;Nikola Jokiæ;29;C;DEN;70;2571;786;1364;0,576246334;138;331;0,416918429;361;451;0,800443459;200;692;892;716;127;45;230;160;2071;34;70
4;Giannis Antetokounmpo;30;PF;MIL;67;2289;793;1319;0,60121304;14;63;0,222222222;436;707;0,61669024;147;651;798;433;58;78;206;155;2036;11;67
5;Jayson Tatum;26;PF;BOS;72;2624;662;1465;0,451877133;250;728;0,343406593;358;440;0,813636364;48;575;623;431;76;38;209;157;1932;2;72
6;Devin Booker;28;SG;PHO;75;2795;654;1420;0,46056338;183;551;0,332123412;432;483;0,894409938;76;229;305;529;67;16;220;198;1923;0;75
7;Trae Young;26;PG;ATL;76;2739;566;1376;0,411337209;218;642;0,339563863;491;561;0,875222816;36;200;236;880;91;12;355;145;1841;0;76
8;Tyler Herro;25;SG;MIA;77;2725;651;1378;0,472423803;251;670;0,374626866;287;327;0,877675841;35;364;399;424;69;17;198;85;1840;0;77
9;Cade Cunningham;23;PG;DET;70;2452;684;1457;0,46945779;149;418;0,35645933;313;370;0,845945946;56;369;425;638;71;53;309;195;1830;9;70
10;James Harden;35;PG;LAC;79;2789;531;1295;0,41003861;235;668;0,351796407;505;578;0,873702422;55;401;456;687;118;55;341;162;1802;3;79
11;Karl-Anthony Towns;29;C;NYK;72;2517;639;1215;0,525925926;142;338;0,420118343;339;409;0,828850856;212;708;920;222;71;50;192;249;1759;1;72
12;Zach LaVine;29;SF;CHI;74;2602;625;1223;0,51103843;239;536;0,445895522;235;285;0,824561404;22;293;315;310;58;12;208;121;1724;0;74
13;Jalen Green;22;SG;HOU;82;2697;608;1437;0,423103688;234;661;0,354009077;273;336;0,8125;45;332;377;282;71;27;203;127;1723;0;82
14;Stephen Curry;36;PG;GSW;70;2252;564;1258;0,448330684;311;784;0,396683673;279;299;0,933110368;40;270;310;421;80;30;200;95;1718;0;70
15;DeMar DeRozan;35;SF;SAC;77;2768;624;1308;0,47706422;84;256;0,328125;378;441;0,857142857;50;248;298;342;62;32;105;150;1710;0;77
16;LeBron James;40;SF;LAL;70;2444;651;1270;0,512598425;149;396;0,376262626;259;331;0,782477341;72;474;546;575;70;39;260;99;1710;10;70
17;Donovan Mitchell;28;SG;CLE;71;2232;585;1320;0,443181818;233;633;0,368088468;298;362;0,82320442;57;265;322;354;95;17;149;140;1701;0;71
18;Jalen Brunson;28;PG;NYK;65;2301;585;1200;0,4875;152;397;0,382871537;368;448;0,821428571;27;160;187;475;60;8;164;138;1690;0;65
19;Kevin Durant;36;PF;PHO;62;2265;592;1124;0,526690391;160;372;0,430107527;303;361;0,83933518;23;351;374;263;50;77;190;104;1647;0;62
20;Jaren Jackson Jr.;25;C;MEM;74;2207;592;1213;0,488046167;146;389;0,375321337;311;398;0,781407035;91;326;417;148;92;113;153;257;1641;0;74
21;Pascal Siakam;30;PF;IND;78;2548;613;1182;0,518612521;126;324;0,388888889;226;308;0,733766234;133;407;540;263;70;42;109;189;1578;0;78
22;Darius Garland;25;PG;CLE;75;2301;554;1174;0,471890971;212;529;0,400756144;224;255;0,878431373;47;167;214;506;91;11;189;143;1544;0;75
23;Coby White;24;SG;CHI;73;2450;508;1121;0,453166815;216;584;0,369863014;277;307;0,90228013;25;248;273;330;69;16;177;154;1509;0;74
24;Jalen Williams;23;SG;OKC;69;2237;565;1168;0,483732877;124;340;0,364705882;236;299;0,789297659;59;310;369;354;111;46;150;158;1490;0;69
25;Austin Reaves;26;SG;LAL;73;2550;477;1037;0,459980714;200;531;0,376647834;321;366;0,87704918;61;268;329;421;81;22;177;151;1475;1;73
26;De'Aaron Fox;27;PG;SAC;62;2241;539;1163;0,463456578;118;381;0,309711286;263;318;0,827044025;54;244;298;392;91;25;174;164;1459;0;62
27;Alperen ªengün;22;C;HOU;76;2395;567;1143;0,496062992;21;90;0,233333333;296;428;0,691588785;262;524;786;372;84;61;194;209;1451;4;76
28;Franz Wagner;23;SF;ORL;60;2023;537;1161;0,4625323;104;352;0,295454545;271;311;0,871382637;56;286;342;284;75;21;138;147;1449;0;60
29;Damian Lillard;34;PG;MIL;58;2093;444;992;0,447580645;197;524;0,375954198;362;393;0,921119593;29;243;272;410;70;10;162;97;1447;2;58
30;Mikal Bridges;28;SF;NYK;82;3036;592;1183;0,500422654;164;463;0,354211663;96;118;0,813559322;71;188;259;306;75;43;132;127;1444;0;82
31;Jamal Murray;27;PG;DEN;67;2418;531;1121;0,473684211;156;397;0,392947103;218;246;0,886178862;45;216;261;403;91;33;138;128;1436;0;67
32;Bam Adebayo;27;C;MIA;78;2674;540;1113;0,485175202;79;221;0,357466063;251;328;0,765243902;185;564;749;337;98;53;161;162;1410;1;78
33;Luka Donèiæ;25;PG;DAL;50;1769;461;1025;0,449756098;177;481;0,367983368;309;395;0,782278481;40;369;409;383;89;21;179;126;1408;5;50
34;Jaylen Brown;28;SF;BOS;63;2158;518;1118;0,46332737;116;358;0,324022346;246;322;0,763975155;82;286;368;286;73;19;162;154;1398;0;63
35;Michael Porter Jr.;26;SF;DEN;77;2593;528;1048;0,503816794;193;489;0,394683027;149;194;0,768041237;138;402;540;165;50;38;104;157;1398;0;77
36;Jordan Poole;25;SG;WAS;68;2001;457;1057;0,432355724;235;622;0,377813505;242;274;0,883211679;31;172;203;303;86;27;204;201;1391;0;68
37;Tyrese Maxey;24;PG;PHI;52;1960;477;1091;0,437213566;161;478;0,336820084;254;289;0,878892734;15;159;174;317;91;21;124;116;1369;1;52
38;Tyrese Haliburton;24;PG;IND;73;2451;476;1006;0,473161034;218;562;0,387900356;189;222;0,851351351;42;216;258;673;105;49;120;92;1359;0;73
39;Nikola Vuèeviæ;34;C;CHI;72;2278;550;1038;0,529865125;129;321;0,401869159;120;149;0,805369128;178;557;735;256;61;52;119;163;1349;1;73
40;Anfernee Simons;25;SG;POR;70;2292;479;1125;0,425777778;215;593;0,362563238;175;194;0,902061856;25;164;189;337;60;5;143;117;1348;0;70
41;Ivica Zubac;27;C;LAC;80;2624;592;942;0,628450106;0;0;;156;236;0,661016949;300;710;1010;214;55;90;127;168;1340;1;80
42;Domantas Sabonis;28;C;SAC;70;2429;527;893;0,590145577;65;156;0,416666667;218;289;0,75432526;267;705;972;423;48;26;202;229;1337;10;70
43;Malik Beasley;28;SG;DET;18;2283;461;1071;0,430438842;319;766;0,416449086;95;140;0,678571429;47;167;214;139;73;5;83;125;1336;0;82
44;Shaedon Sharpe;21;SG;POR;52;2252;499;1104;0,451992754;147;472;0,311440678;190;242;0,785123967;68;256;324;198;62;16;150;120;1335;0;72
45;OG Anunoby;27;PF;NYK;74;2706;489;1027;0,476144109;171;460;0,37173913;183;226;0,809734513;97;261;358;164;110;65;102;172;1332;0;74
46;Desmond Bane;26;SG;MEM;68;2205;493;1018;0,484282908;164;418;0,392344498;177;198;0,893939394;62;356;418;369;80;28;169;164;1327;1;69
47;Evan Mobley;23;PF;CLE;71;2167;505;906;0,557395143;85;230;0,369565217;221;305;0,724590164;164;495;659;226;61;113;145;141;1316;0;71
48;Norman Powell;31;SG;LAC;60;1958;457;945;0,483597884;179;428;0,418224299;213;265;0,803773585;21;169;190;125;73;9;108;114;1306;0;60
49;Miles Bridges;26;PF;CHO;64;2029;469;1089;0,43067034;141;450;0,313333333;221;254;0,87007874;72;409;481;248;44;45;136;93;1300;1;64
50;Julius Randle;30;PF;MIN;69;2226;455;939;0,48455804;108;314;0,343949045;270;335;0,805970149;144;343;487;323;47;16;196;175;1288;0;69
51;Anthony Davis;31;C;DAL;51;1706;470;910;0,516483516;35;124;0,282258065;286;369;0,775067751;134;456;590;181;59;110;113;98;1261;1;51
52;Scottie Barnes;23;PF;TOR;65;2134;474;1063;0,445907808;76;280;0,271428571;228;302;0,754966887;109;393;502;378;93;63;185;113;1252;1;65
53;Derrick White;30;SG;BOS;76;2574;424;959;0,442127216;265;691;0,383502171;135;161;0,838509317;67;274;341;361;72;80;131;138;1248;0;76
54;Kyrie Irving;32;SG;DAL;50;1804;447;945;0,473015873;144;359;0,401114206;196;214;0,91588785;60;180;240;231;66;23;111;101;1234;0;50
55;RJ Barrett;24;SF;TOR;58;1869;460;982;0,468431772;107;306;0,349673203;196;311;0,63022508;61;305;366;314;46;17;165;137;1223;2;58
56;Deni Avdija;24;SF;POR;54;2161;402;844;0,476303318;125;342;0,365497076;290;372;0,779569892;110;412;522;281;71;35;196;171;1219;2;72
57;Christian Braun;23;SG;DEN;77;2675;476;821;0,579780755;89;224;0,397321429;177;214;0,827102804;98;312;410;205;85;37;81;170;1218;0;79
