PLAYER_NAME,DRAFT_YEAR,TEAM,COLLEGE,PICK_NUMBER,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,COUNTRY,TEAM_ABBREVIATION,TEAM_CITY
Victor Wembanyama,2023,San Antonio Spurs,,1,C,7-4,210,2004-01-04,France,SAS,San Antonio
Brandon Miller,2023,Charlotte Hornets,Alabama,2,F,6-9,200,2002-11-22,USA,CHA,Charlotte
Scoot Henderson,2023,Portland Trail Blazers,G League Ignite,3,G,6-2,195,2004-02-03,USA,POR,Portland
Amen Thompson,2023,Houston Rockets,Overtime Elite,4,G,6-7,214,2003-01-30,USA,HOU,Houston
Ausar Thompson,2023,Detroit Pistons,Overtime Elite,5,G,6-7,209,2003-01-30,USA,DET,Detroit
Anthony Black,2023,Orlando Magic,Arkansas,6,G,6-7,200,2004-01-20,USA,ORL,Orlando
Bilal Coulibaly,2023,Washington Wizards,Metropolitans 92,7,F,6-6,230,2004-03-26,France,WAS,Washington
Jarace Walker,2023,Indiana Pacers,Houston,8,F,6-8,240,2003-09-04,USA,IND,Indiana
Taylor Hendricks,2023,Utah Jazz,UCF,9,F,6-9,210,2003-11-22,USA,UTA,Utah
Cason Wallace,2023,Oklahoma City Thunder,Kentucky,10,G,6-4,193,2003-11-07,USA,OKC,Oklahoma City
Jett Howard,2023,Orlando Magic,Michigan,11,G,6-6,215,2003-09-14,USA,ORL,Orlando
Dereck Lively II,2023,Dallas Mavericks,Duke,12,C,7-1,230,2004-02-12,USA,DAL,Dallas
Gradey Dick,2023,Toronto Raptors,Kansas,13,F,6-8,205,2003-11-20,USA,TOR,Toronto
Jordan Hawkins,2023,New Orleans Pelicans,UConn,14,G,6-5,195,2002-04-29,USA,NOP,New Orleans
Kobe Bufkin,2023,Atlanta Hawks,Michigan,15,G,6-4,187,2003-09-21,USA,ATL,Atlanta
Keyonte George,2023,Utah Jazz,Baylor,16,G,6-4,185,2003-11-08,USA,UTA,Utah
Jalen Hood-Schifino,2023,Los Angeles Lakers,Indiana,17,G,6-5,215,2003-06-19,USA,LAL,Los Angeles
Jaime Jaquez Jr.,2023,Miami Heat,UCLA,18,F,6-6,225,2001-02-18,USA,MIA,Miami
Brandin Podziemski,2023,Golden State Warriors,Santa Clara,19,G,6-4,195,2003-02-25,USA,GSW,Golden State
Cam Whitmore,2023,Houston Rockets,Villanova,20,F,6-7,232,2004-07-08,USA,HOU,Houston
Noah Clowney,2023,Brooklyn Nets,Alabama,21,F,6-9,210,2004-07-14,USA,BKN,Brooklyn
Dariq Whitehead,2023,Brooklyn Nets,Duke,22,F,6-7,220,2004-08-01,USA,BKN,Brooklyn
Kris Murray,2023,Portland Trail Blazers,Iowa,23,F,6-8,213,2000-08-19,USA,POR,Portland
Olivier-Maxence Prosper,2023,Dallas Mavericks,Marquette,24,F,6-8,230,2002-07-03,Canada,DAL,Dallas
Marcus Sasser,2023,Detroit Pistons,Houston,25,G,6-2,195,2000-09-21,USA,DET,Detroit
Ben Sheppard,2023,Indiana Pacers,Belmont,26,G,6-6,190,2001-07-16,USA,IND,Indiana
Nick Smith Jr.,2023,Charlotte Hornets,Arkansas,27,G,6-2,185,2004-04-18,USA,CHA,Charlotte
Brice Sensabaugh,2023,Utah Jazz,Ohio State,28,F,6-6,235,2003-10-30,USA,UTA,Utah
Julian Strawther,2023,Denver Nuggets,Gonzaga,29,F,6-7,205,2002-04-18,USA,DEN,Denver
Kobe Brown,2023,Los Angeles Clippers,Missouri,30,F,6-7,250,2000-01-01,USA,LAC,Los Angeles
Zaccharie Risacher,2024,Atlanta Hawks,JL Bourg (France),1,F,6-9,204,2005-04-08,France,ATL,Atlanta
Alexandre Sarr,2024,Washington Wizards,Perth Wildcats (Australia),2,C,7-1,224,2005-04-26,France,WAS,Washington
Reed Sheppard,2024,Houston Rockets,Kentucky,3,G,6-3,187,2004-06-24,USA,HOU,Houston
Stephon Castle,2024,San Antonio Spurs,UConn,4,G,6-6,210,2005-11-01,USA,SAS,San Antonio
Ron Holland II,2024,Detroit Pistons,G League Ignite,5,F,6-8,205,2005-07-07,USA,DET,Detroit
Tidjane Salaun,2024,Charlotte Hornets,Cholet Basket (France),6,F,6-9,212,2005-08-10,France,CHA,Charlotte
Donovan Clingan,2024,Portland Trail Blazers,UConn,7,C,7-2,280,2004-02-23,USA,POR,Portland
Rob Dillingham,2024,Minnesota Timberwolves,Kentucky,8,G,6-1,164,2005-01-04,USA,MIN,Minnesota
Zach Edey,2024,Memphis Grizzlies,Purdue,9,C,7-4,299,2002-05-14,Canada,MEM,Memphis
Cody Williams,2024,Utah Jazz,Colorado,10,F,6-8,190,2004-11-20,USA,UTA,Utah
Matas Buzelis,2024,Chicago Bulls,G League Ignite,11,F,6-10,209,2004-10-13,USA,CHI,Chicago
Nikola Topić,2024,Oklahoma City Thunder,KK Crvena zvezda (Serbia),12,G,6-6,198,2005-08-10,Serbia,OKC,Oklahoma City
Devin Carter,2024,Sacramento Kings,Providence,13,G,6-3,195,2002-09-21,USA,SAC,Sacramento
Carlton Carrington,2024,Washington Wizards,Pittsburgh,14,G,6-5,195,2005-06-14,USA,WAS,Washington
Kel'el Ware,2024,Miami Heat,Indiana,15,C,7-0,242,2004-04-20,USA,MIA,Miami
Jared McCain,2024,Philadelphia 76ers,Duke,16,G,6-2,203,2004-02-20,USA,PHI,Philadelphia
Dalton Knecht,2024,Los Angeles Lakers,Tennessee,17,G/F,6-6,212,2001-04-19,USA,LAL,Los Angeles
Tristan da Silva,2024,Orlando Magic,Colorado,18,F,6-8,217,2001-05-15,Germany,ORL,Orlando
Ja'Kobe Walter,2024,Toronto Raptors,Baylor,19,G,6-4,197,2004-03-22,USA,TOR,Toronto
Jaylon Tyson,2024,Cleveland Cavaliers,California,20,G/F,6-6,218,2002-12-08,USA,CLE,Cleveland
Yves Missi,2024,New Orleans Pelicans,Baylor,21,C,6-11,229,2005-05-01,Cameroon,NOP,New Orleans
DaRon Holmes II,2024,Phoenix Suns,Dayton,22,F/C,6-10,235,2002-08-15,USA,PHX,Phoenix
AJ Johnson,2024,Milwaukee Bucks,Illawarra Hawks (Australia),23,G,6-5,167,2004-12-01,USA,MIL,Milwaukee
Kyshawn George,2024,New York Knicks,Miami,24,G/F,6-8,205,2003-12-21,Switzerland,NYK,New York
Pacôme Dadiet,2024,New York Knicks,Ratiopharm Ulm (Germany),25,F,6-8,210,2005-07-07,France,NYK,New York
Dillon Jones,2024,Oklahoma City Thunder,Weber State,26,G/F,6-6,235,2001-10-28,USA,OKC,Oklahoma City
Terrance Shannon Jr.,2024,Minnesota Timberwolves,Illinois,27,G/F,6-6,219,2000-07-30,USA,MIN,Minnesota
Ryan Dunn,2024,Phoenix Suns,Virginia,28,F,6-8,213,2003-11-23,USA,PHX,Phoenix
Isaiah Collier,2024,Utah Jazz,USC,29,G,6-3,205,2004-10-08,USA,UTA,Utah
Baylor Scheierman,2024,Boston Celtics,Creighton,30,G/F,6-6,201,2000-09-26,USA,BOS,Boston
