PLAYER_FULL_NAME_core,name_norm,PLAYER_FULL_NAME_awards,match_confidence
Dewan Hernandez,dewan hernandez,Dewan Hernandez,100
BJ Johnson,bj johnson,,100
Jeff Malone,jeff malone,Jeff Malone,100
Dick McGuire,dick mcguire,Dick Mcguire,100
Dennis Smith Jr.,dennis smith jr,Dennis Smith Jr.,100
Tony Allen,tony allen,Tony Allen,100
Jerry Stackhouse,jerry stackhouse,Jerry Stackhouse,100
Kenneth Lofton Jr.,kenneth lofton jr,Kenneth Lofton Jr.,100
Jeff Green,jeff green,Jeff Green,100
Sidy Cissoko,sidy cissoko,,100
Damian Lillard,damian lillard,Damian Lillard,100
Duane Ferrell,duane ferrell,Duane Ferrell,100
Jimmer Fredette,jimmer fredette,Jimmer Fredette,100
Dan Roundfield,dan roundfield,Dan Roundfield,100
Tom Owens,tom owens,Tom Owens,100
Darren Tillis,darren tillis,Darren Tillis,100
Obi Toppin,obi toppin,Obi Toppin,100
Paul George,paul george,,100
William Bedford,william bedford,,100
David Vaughn,david vaughn,David Vaughn,100
Charlie Johnson,charlie johnson,Charlie Johnson,100
T.R. Dunn,tr dunn,,100
LaMarcus Aldridge,lamarcus aldridge,Lamarcus Aldridge,100
Rowland Garrett,rowland garrett,Rowland Garrett,100
Paris Bass,paris bass,Paris Bass,100
Malcolm Delaney,malcolm delaney,Malcolm Delaney,100
Shelden Williams,shelden williams,,100
Pace Mannion,pace mannion,Pace Mannion,100
Lee Johnson,lee johnson,Lee Johnson,100
Jordan Farmar,jordan farmar,Jordan Farmar,100
Ray Allen,ray allen,,100
Ed Peterson,ed peterson,Ed Peterson,100
Mike D'Antoni,mike dantoni,Mike D'antoni,100
Frankie Sanders,frankie sanders,Frankie Sanders,100
Reece Gaines,reece gaines,Reece Gaines,100
Morris Peterson,morris peterson,,100
Arron Afflalo,arron afflalo,Arron Afflalo,100
Davion Mitchell,davion mitchell,Davion Mitchell,100
Danny Ainge,danny ainge,,100
Bart Kofoed,bart kofoed,Bart Kofoed,100
Omri Casspi,omri casspi,Omri Casspi,100
Mychal Mulder,mychal mulder,,100
Elgin Baylor,elgin baylor,Elgin Baylor,100
Richaun Holmes,richaun holmes,Richaun Holmes,100
Chris Herren,chris herren,Chris Herren,100
Mel Counts,mel counts,Mel Counts,100
Larry McNeill,larry mcneill,Larry Mcneill,100
Nikola Vučević,nikola vucevic,Nikola Vucevic,100
Ron Riley,ron riley,Ron Riley,100
Cartier Martin,cartier martin,,100
Anderson Varejao,anderson varejao,Anderson Varejao,100
Chandler Parsons,chandler parsons,Chandler Parsons,100
Cade Cunningham,cade cunningham,Cade Cunningham,100
Emeka Okafor,emeka okafor,Emeka Okafor,100
Kent Bazemore,kent bazemore,Kent Bazemore,100
Jerry West,jerry west,Jerry West,100
Mike Miller,mike miller,Mike Miller,100
Juwan Howard,juwan howard,Juwan Howard,100
Antoine Carr,antoine carr,Antoine Carr,100
Kareem Abdul-Jabbar,kareem abdul jabbar,Kareem Abdul-Jabbar,100
Archie Dees,archie dees,Archie Dees,100
Shaquille Harrison,shaquille harrison,Shaquille Harrison,100
Courtney Lee,courtney lee,Courtney Lee,100
Elvin Hayes,elvin hayes,Elvin Hayes,100
Pete Cross,pete cross,Pete Cross,100
David Benoit,david benoit,David Benoit,100
Clemon Johnson,clemon johnson,Clemon Johnson,100
Amar'e Stoudemire,amare stoudemire,Amar'e Stoudemire,100
Khris Middleton,khris middleton,Khris Middleton,100
Ron Knight,ron knight,,100
George Yardley,george yardley,George Yardley,100
Shane Heal,shane heal,Shane Heal,100
Keon Ellis,keon ellis,Keon Ellis,100
Gary Trent,gary trent,Gary Trent,100
Henry James,henry james,Henry James,100
Bison Dele,bison dele,Bison Dele,100
Darren Daye,darren daye,Darren Daye,100
Cory Joseph,cory joseph,Cory Joseph,100
Andre Roberson,andre roberson,Andre Roberson,100
Michael Carter-Williams,michael carter williams,Michael Carter-Williams,100
Kenny Anderson,kenny anderson,Kenny Anderson,100
Bill Bridges,bill bridges,,100
Butch Lee,butch lee,Butch Lee,100
Spencer Dinwiddie,spencer dinwiddie,Spencer Dinwiddie,100
Charlie Villanueva,charlie villanueva,Charlie Villanueva,100
Jerry Greenspan,jerry greenspan,Jerry Greenspan,100
Antonio Harvey,antonio harvey,Antonio Harvey,100
Brian Shaw,brian shaw,Brian Shaw,100
Ron Harper Jr.,ron harper jr,Ron Harper Jr.,100
Trevor Keels,trevor keels,Trevor Keels,100
Walter McCarty,walter mccarty,Walter Mccarty,100
Jeff Martin,jeff martin,Jeff Martin,100
Irving Thomas,irving thomas,Irving Thomas,100
Darius Miles,darius miles,Darius Miles,100
Melvin Frazier Jr.,melvin frazier jr,Melvin Frazier Jr.,100
Cornell Warner,cornell warner,Cornell Warner,100
Ashraf Amaya,ashraf amaya,,100
Adonis Thomas,adonis thomas,,100
Keon Clark,keon clark,Keon Clark,100
Otis Birdsong,otis birdsong,Otis Birdsong,100
Bob Sura,bob sura,Bob Sura,100
Phil Jordon,phil jordon,Phil Jordon,100
Isaac Stallworth,isaac stallworth,Isaac Stallworth,100
Chris Webber,chris webber,Chris Webber,100
Jack Marin,jack marin,,100
Tom Gola,tom gola,Tom Gola,100
Kevin Love,kevin love,Kevin Love,100
Clinton Wheeler,clinton wheeler,Clinton Wheeler,100
Kwame Brown,kwame brown,Kwame Brown,100
Chucky Brown,chucky brown,,100
Emmanuel Mudiay,emmanuel mudiay,Emmanuel Mudiay,100
Danny Ferry,danny ferry,Danny Ferry,100
Markquis Nowell,markquis nowell,,100
